,settingdict,formula,Sharpe,Turnover,Fitness,Returns,Drawdown,Margin
27,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_eda,10)",1.26,0.0132,1.33,0.1397,0.7062999999999999,0.021106
28,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_qe6,10)",1.26,0.0149,1.25,0.1236999999999999,0.6196,0.016599
29,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '15', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(mdf_eda),1.26,0.0179,1.01,0.0805,0.063,0.009014
30,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '0', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","group_rank(fam_est_eps_rank, sector)",1.26,0.0322,1.22,0.1181,0.1488,0.0073349999999999
31,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '0', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'None', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_av_diff(mdf_eg3, 250)*ts_corr(mdf_eg3, mdf_sg3, 250)",1.26,0.0189,1.77,0.2453999999999999,1.2087,0.025934
32,"{'Region': 'USA', 'Universe': 'TOP3000', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(fnd6_optdrq,10)",1.26,0.0638,1.08,0.0917999999999999,0.1198,0.002879
33,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Sector', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","ts_mean(fnd6_newqv1300_rcpq,10)",1.26,0.0392,1.15,0.1033999999999999,0.5893,0.005274
34,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(income,10)",1.26,0.0279,1.01,0.0797,0.1505,0.005714
35,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '52', 'Delay': '1', 'Truncation': '0.001', 'Neutralization': 'Sector', 'Pasteurization': 'On', 'NaN_Handling': 'On', 'Unit_Handling': 'Verify'}",rank(mdf_rds),1.27,0.0123,1.2,0.1108,0.0876,0.017998
36,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '90', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(mdf_opi),1.27,0.0136,1.43,0.1574,0.1306,0.023122
37,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(return_assets),1.27,0.0319,1.03,0.0824,0.4490999999999999,0.0051649999999999
38,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '0', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Industry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(mdf_rds),1.27,0.0219,1.22,0.1151,0.1159,0.010503
39,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '95', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(mdf_com),1.27,0.0681,1.04,0.0843999999999999,0.0936999999999999,0.002476
40,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_cap,10)",1.28,0.0182,1.05,0.0848,0.461,0.009321
41,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_oey,10)",1.28,0.0256,1.21,0.1123,0.5672999999999999,0.008756
42,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(fnd6_pnrsho,10)",1.28,0.0109,1.12,0.0962,0.0621,0.017687
43,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(mdf_rds),1.28,0.0191,1.15,0.1017,0.0818,0.010626
44,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Sector', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(fnd6_mibn),1.28,0.0184,1.09,0.0904,0.4728,0.0098129999999999
45,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '18', 'Delay': '1', 'Truncation': '0.08', 'Neutralization': 'Sector', 'Pasteurization': 'On', 'NaN_Handling': 'On', 'Unit_Handling': 'Verify'}","ts_zscore(mdf_gry, 20)",1.28,0.2055999999999999,1.04,0.1347,0.1298,0.00131
46,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(fnd6_cptmfmq_oibdpq),1.28,0.0465,1.11,0.0942,0.5017,0.004054
47,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Sector', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_qe6,10)",1.29,0.0254,1.14,0.0975999999999999,0.4765,0.007692
48,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '80', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",-rank(mdf_sq5),1.29,0.0186,1.1,0.0904,0.0729,0.009695
49,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(fnd6_mfma1_invch),1.29,0.0186,1.08,0.087,0.0881,0.0093709999999999
